,content_id,content_type,title,headline,description,publish_date,slug,description,state,duration,video_series,author_1,author_2,tag_1,tag_2,tag_3,thumbnail_1_URL,thumbnail_1_size,thumbnail_1_width,thumbnail_1_height,thumbnail_2_URL,thumbnail_2_size,thumbnail_2_width,thumbnail_2_height,thumbnail_3_URL,thumbnail_3_size,thumbnail_3_width,thumbnail_3_height
23,5c520bcfe4b0775fa30cf6fd,article,,Stephen King's The Stand Getting TV Series Adaptation at CBS All Access,"CBS announced Wednesday a limited TV series adaptation for Stephen King's The Stand, coming to CBS All Access.",2019-01-30T22:12:43+0000,stephen-kings-the-stand-getting-tv-series-adaptation-at-cbs-all-access,"CBS announced Wednesday a limited TV series adaptation for Stephen King's The Stand, coming to CBS All Access.",published,,,Jessie Wade,,news,cbs-all-access,company,https://assets1.ignimgs.com/2019/01/30/king-1-1548883857961_compact.jpg,compact,306,172,https://assets1.ignimgs.com/2019/01/30/king-1-1548883857961_medium.jpg,medium,466,262,https://assets1.ignimgs.com/2019/01/30/king-1-1548883857961_large.jpg,large,626.0,352.0
24,5c52170fe4b0b6ea190cbd22,article,,Premiere Date Announced for The Twilight Zone Hosted by Jordan Peele,"CBS has revealed that the first two episodes of The Twilight Zone, a reboot of the classic 1959 television series, will premiere on CBS All Access this April.",2019-01-30T22:11:41+0000,premiere-date-announced-for-the-twilight-zone-hosted-by-jordan-peele,"CBS has revealed that the first two episodes of The Twilight Zone, a reboot of the classic 1959 television series, will premiere on CBS All Access this April.",published,,,Adam Bankhurst,,news,cbs-all-access,company,https://assets1.ignimgs.com/2019/01/30/tz-1280-1548883684873_compact.jpg,compact,306,172,https://assets1.ignimgs.com/2019/01/30/tz-1280-1548883684873_medium.jpg,medium,466,262,https://assets1.ignimgs.com/2019/01/30/tz-1280-1548883684873_large.jpg,large,626.0,352.0
25,5c4b93a9e4b0775fa30cf423,article,,Subnautica: Below Zero Out Now as Early Access Title,Subnautica: Below Zero is out now as an early access title.,2019-01-30T22:10:43+0000,subnautica-sequel-gets-surprise-announcement-out-next-week,Subnautica: Below Zero is out now as an early access title.,published,,,Shabana Arif,,news,action,adventure,https://assets1.ignimgs.com/2019/01/25/shallowtwistybridges-1548459610707_compact.jpeg,compact,306,172,https://assets1.ignimgs.com/2019/01/25/shallowtwistybridges-1548459610707_medium.jpeg,medium,466,262,https://assets1.ignimgs.com/2019/01/25/shallowtwistybridges-1548459610707_large.jpeg,large,626.0,352.0
26,5c5205cde4b0775fa30cf6ef,article,,iPad Deals: Save Up to $280 Right Now,"iPad or iPad Pro? Wi-Fi or Wi-Fi + Cellular? When it comes to choosing the iPad for you, you have plenty of options and a variety of deals.",2019-01-30T21:29:02+0000,ipad-deals-save-up-to-280-today,"iPad or iPad Pro? Wi-Fi or Wi-Fi + Cellular? When it comes to choosing the iPad for you, you have plenty of options and a variety of deals.",published,,,Chris Reed,,feature,shopping,us-shopping,https://assets1.ignimgs.com/2019/01/30/ipad-pro-deals-1548879364970_compact.jpg,compact,306,172,https://assets1.ignimgs.com/2019/01/30/ipad-pro-deals-1548879364970_medium.jpg,medium,466,262,https://assets1.ignimgs.com/2019/01/30/ipad-pro-deals-1548879364970_large.jpg,large,626.0,352.0
27,5c521270e4b0b6ea190cbd17,article,,First Look at Seth Rogen and Charlize Theron Comedy Long Shot,"Check out these first images from Long Shot, a comedy starring Seth Rogen and Charlize Theron.",2019-01-30T21:15:05+0000,first-look-at-seth-rogen-and-charlize-theron-comedy-long-shot,"Check out these first images from Long Shot, a comedy starring Seth Rogen and Charlize Theron.",published,,,Colin Stevens,,news,charlize-theron,comedy,https://assets1.ignimgs.com/2019/01/30/long-shot-1548880850930_compact.jpg,compact,306,172,https://assets1.ignimgs.com/2019/01/30/long-shot-1548880850930_medium.jpg,medium,466,262,https://assets1.ignimgs.com/2019/01/30/long-shot-1548880850930_large.jpg,large,626.0,352.0
28,5c520484e4b0b6ea190cbcff,article,,What Star Wars and Marvel Studios Could Learn From Star Trek's Short Treks,CBS and Star Trek have some key lessons that Disney should pay attention to as it prepares to launch its Disney+ streaming service.,2019-01-30T21:05:22+0000,what-star-wars-and-marvel-studios-could-learn-from-star-treks-short-treks,CBS and Star Trek have some key lessons that Disney should pay attention to as it prepares to launch its Disney+ streaming service.,published,,,Andrew Todd,,feature,blu-ray,cbs-all-access,https://assets1.ignimgs.com/2019/01/30/1280-startrekstarwarsmarvel-1548882293480_compact.jpg,compact,306,172,https://assets1.ignimgs.com/2019/01/30/1280-startrekstarwarsmarvel-1548882293480_medium.jpg,medium,466,262,https://assets1.ignimgs.com/2019/01/30/1280-startrekstarwarsmarvel-1548882293480_large.jpg,large,626.0,352.0
29,5c520b08e4b0775fa30cf6fa,article,,Want to Win a Free Trip to LA for The Umbrella Academy Premiere?,Take the Umbrella Challenge and test your super speed for a chance to win.,2019-01-30T20:37:28+0000,want-to-win-a-free-trip-to-la-for-the-umbrella-academy-premiere-2,Take the Umbrella Challenge and test your super speed for a chance to win.,published,,,IGN STUDIO,,blogroll-promoted,blogroll-promoted-ad,,https://assets1.ignimgs.com/2019/01/30/us-en-umbrellaacademy-1280x720-static-mlt-post-1548880573137_compact.jpg,compact,306,172,https://assets1.ignimgs.com/2019/01/30/us-en-umbrellaacademy-1280x720-static-mlt-post-1548880573137_medium.jpg,medium,466,262,https://assets1.ignimgs.com/2019/01/30/us-en-umbrellaacademy-1280x720-static-mlt-post-1548880573137_large.jpg,large,626.0,352.0
30,5c52091de4b0c3a735a33c00,article,,Will Smith Reveals First Look at Bad Boys for Life,"The long-coming sequel Bad Boys for Life has gotten a first look from Will Smith, featuring himself and co-star Martin Lawrence.",2019-01-30T20:30:10+0000,will-smith-reveals-first-look-at-bad-boys-for-life,"The long-coming sequel Bad Boys for Life has gotten a first look from Will Smith, featuring himself and co-star Martin Lawrence.",published,,,Colin Stevens,,news,action-comedy,bad-boys-for-life,https://assets2.ignimgs.com/2015/06/10/bad-boys-1280jpg-434d72_compact.jpg,compact,306,172,https://assets2.ignimgs.com/2015/06/10/bad-boys-1280jpg-434d72_medium.jpg,medium,466,262,https://assets2.ignimgs.com/2015/06/10/bad-boys-1280jpg-434d72_large.jpg,large,626.0,352.0
31,5c51f9e4e4b0c3a735a33beb,article,,The Walking Dead Midseason Premiere Photos Reveal Negan's Next Move,"AMC has released new photos from The Walking Dead Season 9 midseason premiere, which reveal what Negan is up to.",2019-01-30T20:15:09+0000,the-walking-dead-season-9-midseason-premiere-photos-negan,"AMC has released new photos from The Walking Dead Season 9 midseason premiere, which reveal what Negan is up to.",published,,,Laura Prudom,,news,episode,season,https://assets1.ignimgs.com/2019/01/30/walking-dead-midseason-premiere-blog-1548876099910_compact.jpg,compact,306,172,https://assets1.ignimgs.com/2019/01/30/walking-dead-midseason-premiere-blog-1548876099910_medium.jpg,medium,466,262,https://assets1.ignimgs.com/2019/01/30/walking-dead-midseason-premiere-blog-1548876099910_large.jpg,large,626.0,352.0
32,5c51faa6e4b0c3a735a33bee,article,,Kingdom Hearts 3's Gummi Ship: Everything You Need to Know,A complete beginner's guide to the Gummi Ship in KH3. ,2019-01-30T19:27:33+0000,kingdom-hearts-3s-gummi-ship-everything-you-need-to-know,A complete beginner's guide to the Gummi Ship in KH3. ,published,,,Casey DeFreitas,,action,game,kingdom-hearts,https://assets1.ignimgs.com/2019/01/30/gummishipblog-copy-1548876294384_compact.jpg,compact,306,172,https://assets1.ignimgs.com/2019/01/30/gummishipblog-copy-1548876294384_medium.jpg,medium,466,262,https://assets1.ignimgs.com/2019/01/30/gummishipblog-copy-1548876294384_large.jpg,large,626.0,352.0
